,sentence_1_id,sentence_2_id,sentence_1,sentence_2,label
0,a0,b0,"Hector Macdonald Laws (Hec) Waller, DSO &amp; Bar (4 April 1900 – 1 March 1942) was a senior officer in the Royal Australian Navy (RAN).","His career spanned almost thirty years, including service in both world wars.",1
1,a1,b1,"At the helm of HMAS Stuart in the Mediterranean from 1939 to 1941, he won recognition as a skilful ship's captain and flotilla commander.","He then transferred to the South West Pacific as captain of the light cruiser HMAS Perth, and went down with his ship against heavy odds during the Battle of Sunda Strait in early 1942.Born in Benalla, Victoria, Waller entered the Royal Australian Naval College at the age of thirteen.",1
2,a2,b2,"After graduating, he served with the Royal Navy in the closing stages of World War I.","Between the wars, he specialised in communications and was posted as signals officer to several British and Australian warships.",1
3,a3,b3,"He gained his first seagoing command in 1937, as captain of the destroyer HMS Brazen.","In September 1939, he took charge of HMAS Stuart and four other obsolete destroyers that together became known as the ""Scrap Iron Flotilla"".",1
4,a4,b4,"In 1940, these were augmented by other ships to form the 10th Destroyer Flotilla, supporting Allied troops in North Africa.Waller was awarded the Distinguished Service Order and Bar, and twice mentioned in despatches, for his achievements in the Mediterranean.","He assumed command of HMAS Perth in October 1941, taking part in the Battle of the Java Sea shortly before his final action in Sunda Strait.",1
5,a5,b5,"He received a third mention in despatches posthumously, and in 2011 came under formal consideration for the award of the Victoria Cross for his performance as Perth's captain.","The submarine HMAS Waller is named in his honour.Born on 4 April 1900 in Benalla, Victoria, Hector MacDonald Laws Waller was the son of William Frederick Waller, a grocer, and his wife Helen Waller (née Duncan).Waller entered the Royal Australian Naval College (RANC) as a cadet midshipman on 31 December 1913, aged thirteen.",1
6,a6,b6,"Promoted to midshipman on 1 January 1918, he was posted to Britain where, in April, he was appointed to serve in the Royal Navy's (RN) Grand Fleet with the dreadnought HMS Agincourt.In February 1919, Waller was assigned to the light cruiser HMAS Melbourne, and two months later returned to Australia.By this stage of his career, Waller had acquired a strong reputation for his communications work.","In July 1930, he was posted aboard the Royal Australian Navy's (RAN) flagship, the heavy cruiser HMAS Australia, as squadron signals officer.At the outbreak of World War II, Waller was appointed captain of HMAS Stuart, taking charge of a group of four other obsolete ex-RN destroyers—HMA Ships Vampire, Vendetta, Voyager, and Waterhen—that the Germans later nicknamed the ""Scrap Iron Flotilla"".Following Italy's entry into the war on 10 June 1940, Waller was involved in the search for minefields off the North African coast.",1
7,a7,b7,"A keen shooter, he personally blew up floating mines using a rifle and armour-piercing bullets.","On 21 June, Stuart shelled the Italian-held town of Bardia.",1
8,a8,b8,"In September, he was awarded the Distinguished Service Order (DSO) for ""courage, enterprise, and devotion to duty on recent engagements""—in particular, his pinpointing of enemy minefields.—Crewman quoted by historian Tom LewisStuart and other ships of Waller's 10th Destroyer Flotilla supported the assaults on Tobruk in January 1941 and Benghazi the following month.Waller earned the personal admiration of Admiral Cunningham, who described him as ""one of the finest types of Australian naval officers ... greatly loved and admired by everyone"".Departing the Mediterranean, Waller returned to Australia in August 1941 for service in the South West Pacific.","In January 1942, the ship was assigned to American-British-Dutch-Australian Command (ABDA) to help defend the Dutch East Indies.",1
9,a9,b9,"She set sail for the ABDA Area on 15 February, the day that Singapore surrendered.The ABDA Striking Force that Perth had joined was crushed by an overwhelming Japanese force at the Battle of the Java Sea on 27 February.","Low on ammunition, Waller made the decision to withdraw, accompanied by the cruiser USS Houston under the command of Captain Albert H. Rooks.",1
10,a10,b10,"Waller's action contravened the orders of his Dutch superior, Admiral Conrad Helfrich, to ""continue action whatever the cost, and till the bitter end"", but the Australian was convinced that further engagement would mean pointless sacrifice.On the following night, 28 February, Perth and Houston were attempting to break through the Sunda Strait to Australia when they encountered a Japanese invasion fleet escorted by four cruisers and twelve destroyers.On 15 March 1946, Waller was awarded a posthumous mention in despatches for ""gallantry and resolution"" aboard HMAS Perth.Hec Waller's name appears on the Roll of Honour located at Panel 6 in the Commemorative Area at the Australian War Memorial, Canberra, and on the Plymouth Naval Memorial in Devon, England.HMAS Waller, the third of the RAN's Collins-class submarines to enter service, was commissioned on 10 July 1999.","The attendees included John Waller, Michael Waller's wife, and surviving crewmen of HMAS Perth.",1
11,a11,b11,"US Highway 23 (US 23)  is a north–south United States Numbered Highway that runs from Jacksonville, Florida, to Mackinaw City, Michigan.","In the US state of Michigan, it is a major, 362-mile-long (583 km), north–south state trunkline highway that runs through the Lower Peninsula.",1
12,a12,b12,"The trunkline is a freeway from the Michigan–Ohio state line near Lambertville to the city of Standish, and it follows the Lake Huron shoreline from there to its northern terminus.","Serving the cities of Ann Arbor and Flint, US 23 acts as a freeway bypass of the Metro Detroit area.",1
13,a13,b13,"Overall, the highway runs through rural areas of the state dominated by farm fields or woodlands; some segments are urban in character in the Ann Arbor, Flint and Tri-Cities areas.","The section from Flint north to Standish also carries Interstate 75 (I-75) along a concurrency that includes a segment that carries almost 70,000 vehicles on a daily basis.The first transportation routes along what is now US 23 in the state were sections of two Indian trails.",1
14,a14,b14,The route of what is now US 23 follows portions of two separate trails.,"In the early 20th century, four different auto trail names were applied to roads now a part of the highway.",1
