,chunk_number,paragraph
0,1,"Stop it ! I told you stop it . Stop it , I said ! Make him stop it . [ baby cries ] What happened , Alice ? What happened ? We 're all going to die . Bring those pump lines in here now ! Come on , move it ! That 's it , laddies ! Some of the lads down below say they got water in their rooms . You can 't take that seriously . Somebody 's making it up . Yeah , well , I 'm not waing around to find out . Where you going ? I 'm gong up . Up out of the damp , thank you . My God . Water . There 's bloomin ' water coming in !"
1,2,"[ knock on door ] ALlCE : Mr. Allison ? Sir , there 's something wrong ! Another nightmare . She 's having another nightmare . Oh , that girl . I tell you , Hudson ... [ knocking ] Mr. Allison ! I 'm coming . The baby . What about the baby ? There was a scraping sound , and it woke him up , and I got him quiet , but there 's some kind of trouble with the boat , sir . The engines have stopped . You hear it , Hudson ? I hope you 're satisfied . We 've probably stopped for the night because of ice . It 's nothing to be concerned about . We hit something , sir . I felt it . I felt it in my bones . It was like in my nightmares . Stop it , Alice ."
2,3,"Now . I mean it . This boat 's unsinkable . Nothing is wrong . Yes , sir , But I fel -- But , sir ... You 're too soft- hearted with that girl . When we arrive in New York , she goes . [ faint thudding and creaking ] Ship is going down . People screaming . Bodies floating in the water . Chairs , tables ... and a baby . A dead baby in a cold water , night dress round his head . I seen it . She has taken damage along 300 feet of her starboard side . Oh , my God . You have broken one of the cardinal rules of safety . Never turn over broadside to danger . Had we struck the berg head on , only one compartment would 've been flooded . I thought I could avoid hitting the berg altogether , sir . And not only did you stop your engines , you reversed them ! She would 've turned much more quickly the greater her forward motion !"
3,4,"Yes , but the watertight doors were closed immediately after impact . The compartments behind them were sealed . These watertight bulkheads go up only to "" E "" deck . The weight of the water in the bow will pull her down by the head . This ship can 't sink . This ship has about 2 hours . The lifeboats . We have lifeboats . We must launch them at once . Get everyone off the ship . That won 't be entirely possible . Of course it 's possible ! We must begin immediately . You may recall that we have precisely the number of lifeboats required by the british board of trade -- seats for 1, 200 people . There 's over 2, 000 people board this ship . 2, 230 ... souls ! I cannot allow this . Mr. Ismay ... It was under your directive that we were traveling through an ice field at the arrogant speed of 21 knots ! I 'm the master of this vessel , and I have been too complacent ."
4,5,"Captain Smith , a general distress over the wireless should be sent immediately . Mr. Murdock . Sir . See that the passengers are roused . Mr. Lightoller , organise the crew to uncover the boats . It would be best , sir , if we didn 't give any indication to the crew or the passengers as to the seriousness of the situation . Yes , quite so . We don 't want to ... start a panic . Yes , quite -- quite so . [ steam blows ] Shut her down ! Shut down those pilots ! Shut it down right now ! The captain requests all passenger to report to the main deck at once . Now , there 's no cause for alarm . Dress warmly and please bring your life jackets . Please report to the main deck at once . [ knock on door ] Mr. Allison ! Sorry to disturb you , sir . What 's going on ? It 's impossible to get a night 's sleep ."
5,6,"What 's that noise ? What is it ? The captain requests all passengers to report to the main deck . Dress warmly . What is it ? What did he say , Hudson ? Just stay here . I 'll go up on deck and find out what 's going on . No , don 't leave us here alone ! Get ahold of yourself . I 'll come right back . But he said to get dressed . I don 't know what to do . I don 't want to wake up the babies in the middle of the night . Perhaps you should get dressed ? Oh , Hudson , then it 's true ! Alice was right ! Calm down . Just get dressed . To be on the safe side ."
6,7,"I don 't know what to put on . What should I wear ? I had on my -- my black tweed this afternoon . Warm . Just dress warm . Alice , help me ! [ steam blows ] What is that ? They 're releasing the excess pressure from the boilers . Please bring your life jackets . They 're not actually going to put us in lifeboats , are they ? No , no , but put on your life preservers just as a precautionary measure . They 're on top of your armoires . Dress was warm as you can , darling . Why , if there 's really no danger ? Just do as they ask . Put on a few layers and a warm coat . I 'll meet you upstairs in 10 minutes . Henry , what 's the truth ? I don 't know any more than you do , sir . I 'm just doing what they tell me ."
7,8,"[ sighs ] You look fagged , Evans . 18- hour shift , lad . What have you got tonight ? Oh , just the Titanic sending off a batch of messages to cape grace . Could be interesting . Do you mind if I listen for while ? Have at it . How is your morse coming ? I 've figured out the odd letters , even get the gist of it sometimes . Well , I 'll see you in the A. M. Prepare to call for assistance . We 've struck an iceberg . These are the coordinates . Yes , sir . Which I call should I send , sir ? The international call for help -- C. Q. D. come quickly . Distress . Just that . Aye , sir . Oh ! I 'd hate to be in the captain 's shoes when he tells Astor and these rich mucky- mucks they 're going to be a week late getting to New York , eh ?"
8,9,"[ sending message ] Power ran out . I 'm too tired to wind it up tonight . I 'll do it in the morning when I 've got more strength . Good night , mate . Throw the covers back . Smartly , there ! Don 't take over in folds ! This is no joke . Don 't you know what to do here ? Roll . Osa ? Is that you , Osa ? [ crying ] Come on . Follow me . We 've got to get up to the boat deck . Hey , what 's the matter with you ? Come on . What the bloody hell ? Don 't ask me questions . Ask nothing ."
9,10,"Don 't touch me . Look , Osa , I 'm trying to help you . I don 't want help from any man . I 'm not just any man . Leave me alone . I don 't know what 's happened , but you have to listen to me . You 've got to come up with me to "" A "" deck where it 's safe . CLARlNDA : My girl ? There 's Osa ! Look at this ! I knew no good would come out of you ! What have you done to her ? I found her ! I would never hurt her ! Take the children down to the common room and find your father . She 's been beaten ! And Lord knows what else ! The crew come down here helping themselves , touching the girls and saying bad words . They think we 're weak because we 're people of God . Maybe they never heard of God 's vengeance ."
